iter	Passed	Remaining
0	59	59388
1	59	29861
2	60	20007
3	60	15075
4	60	12124
5	61	10158
6	61	8750
7	62	7690
8	62	6864
9	62	6203
10	62	5662
11	63	5221
12	63	4840
13	64	4513
14	64	4230
15	64	3983
16	65	3768
17	65	3582
18	66	3409
19	66	3252
20	66	3112
21	67	2984
22	67	2867
23	67	2759
24	68	2664
25	68	2572
26	68	2485
27	69	2405
28	69	2330
29	69	2263
30	70	2196
31	70	2135
32	70	2077
33	71	2023
34	71	1973
35	71	1924
36	72	1878
37	72	1834
38	72	1793
39	73	1754
40	73	1719
41	73	1684
42	74	1650
43	74	1617
44	74	1586
45	75	1556
46	75	1528
47	75	1500
48	75	1474
49	76	1449
50	76	1425
51	76	1402
52	77	1379
53	77	1357
54	77	1336
55	78	1316
56	78	1296
57	78	1278
58	78	1259
59	79	1241
60	79	1224
61	79	1206
62	80	1190
63	80	1174
64	80	1159
65	80	1145
66	81	1131
67	81	1118
68	81	1105
69	82	1092
70	82	1080
71	82	1068
72	83	1055
73	83	1044
74	83	1032
75	84	1022
76	84	1011
77	84	1000
78	84	990
79	85	980
80	85	971
81	85	961
82	86	950
83	86	940
84	86	931
85	86	922
86	87	913
87	87	905
88	87	896
89	87	888
90	88	880
91	88	872
92	88	865
93	89	858
94	89	851
95	89	844
96	89	837
97	90	830
98	90	823
99	90	816
100	90	809
101	91	802
102	91	796
103	91	790
104	91	783
105	92	777
106	92	771
107	92	766
108	93	761
109	93	755
110	93	750
111	93	745
112	94	739
113	94	734
114	94	729
115	94	723
116	95	718
117	95	713
118	95	708
119	95	703
120	96	699
121	96	693
122	96	689
123	96	684
124	97	680
125	97	675
126	97	671
127	97	666
128	98	662
129	98	658
130	98	654
131	98	650
132	99	647
133	99	643
134	99	639
135	100	635
136	100	632
137	100	628
138	100	625
139	101	621
140	101	618
141	101	613
142	101	610
143	102	606
144	102	603
145	102	600
146	102	597
147	103	593
148	103	590
149	103	587
150	104	585
151	104	582
152	104	579
153	104	576
154	105	573
155	105	571
156	105	568
157	106	565
158	106	562
159	106	560
160	106	557
161	107	554
162	107	551
163	107	548
164	107	546
165	108	543
166	108	540
167	108	538
168	109	536
169	109	533
170	109	531
171	109	529
172	110	526
173	110	524
174	110	522
175	111	519
176	111	517
177	111	514
178	111	512
179	112	510
180	112	508
181	112	506
182	112	503
183	113	501
184	113	499
185	113	497
186	113	495
187	114	493
188	114	491
189	114	489
190	114	487
191	115	485
192	115	482
193	115	481
194	116	479
195	116	477
196	116	475
197	116	473
198	117	471
199	117	469
200	117	467
201	117	466
202	118	464
203	118	462
204	118	460
205	118	458
206	119	457
207	119	455
208	119	453
209	120	452
210	120	450
211	120	449
212	121	447
213	121	445
214	121	444
215	121	442
216	122	440
217	122	439
218	122	437
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	125	419
231	126	417
232	126	416
233	126	415
234	127	413
235	127	412
236	127	411
237	128	409
238	128	408
239	128	407
240	128	405
241	129	404
242	129	402
243	129	401
244	129	400
245	130	398
246	130	397
247	130	395
248	130	394
249	131	393
250	131	391
251	131	390
252	131	389
253	132	388
254	132	387
255	132	385
256	133	385
257	133	383
258	133	382
259	133	381
260	134	379
261	134	378
262	134	377
263	134	375
264	135	374
265	135	373
266	135	372
267	135	371
268	136	370
269	136	369
270	136	367
271	137	366
272	137	365
273	137	364
274	137	363
275	138	362
276	138	360
277	138	359
278	138	358
279	139	357
280	139	356
281	139	355
282	139	354
283	140	353
284	140	352
285	140	351
286	140	349
287	141	348
288	141	348
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	339
297	143	338
298	143	337
299	143	335
300	144	334
301	144	333
302	144	332
303	144	331
304	145	330
305	145	329
306	145	328
307	145	327
308	146	326
309	146	325
310	146	324
311	146	323
312	147	322
313	147	321
314	147	320
315	147	320
316	148	319
317	148	318
318	148	317
319	148	316
320	149	315
321	149	314
322	149	313
323	150	313
324	150	312
325	150	311
326	150	310
327	151	309
328	151	309
329	151	308
330	152	307
331	152	306
332	152	306
333	153	305
334	153	304
335	153	303
336	154	303
337	154	302
338	154	301
339	154	300
340	155	299
341	155	299
342	155	298
343	156	297
344	156	296
345	156	296
346	156	295
347	157	294
348	157	293
349	157	293
350	158	292
